stat_name,guid,statCategory
Helix |Rpl {0}:Rocket:Rockets; Kills - Most in Game,565,Hero
Helix |Rpl {0}:Rocket:Rockets; Kills,566,Hero
Tactical Visor |Rpl {0}:Kill:Kills;,567,Hero
Tactical Visor |Rpl {0}:Kill:Kills; - Most in Game,569,Hero
Transcendence Healing - Best,571,Hero
of Team's Damage,576,Hero
Dragonstrike |Rpl {0}:Kill:Kills;,577,Hero
Dragonstrike |Rpl {0}:Kill:Kills; - Most in Game,579,Hero
Scatter Arrow |Rpl {0}:Kill:Kills;,580,Hero
Scatter Arrow |Rpl {0}:Kill:Kills; - Most in Game,581,Hero
Recon |Rpl {0}:Kill:Kills;,583,Hero
Sentry |Rpl {0}:Kill:Kills;,584,Hero
Tank |Rpl {0}:Kill:Kills;,585,Hero
Sentry |Rpl {0}:Kill:Kills; - Most in Game,586,Hero
Recon |Rpl {0}:Kill:Kills; - Most in Game,588,Hero
Tank |Rpl {0}:Kill:Kills; - Most in Game,589,Hero
Rocket Direct |Rpl {0}:Hit:Hits; - Most in Game,592,Hero
Barrage |Rpl {0}:Kill:Kills; - Most in Game,594,Hero
Damage Blocked,596,Hero
|Rpl {0}:Soul:Souls; Consumed - Most in Game,598,Hero
Death Blossom |Rpl {0}:Kill:Kills; - Most in Game,600,Hero
Damage Blocked,601,Hero
Damage Blocked - Most in Game,603,Hero
Charge |Rpl {0}:Kill:Kills;,604,Hero
Charge |Rpl {0}:Kill:Kills; - Most in Game,606,Hero
Fire Strike |Rpl {0}:Kill:Kills;,608,Hero
Fire Strike |Rpl {0}:Kill:Kills; - Most in Game,609,Hero
Earthshatter |Rpl {0}:Kill:Kills;,611,Hero
Earthshatter |Rpl {0}:Kill:Kills; - Most in Game,613,Hero
Blaster |Rpl {0}:Kill:Kills;,615,Hero
Blaster |Rpl {0}:Kill:Kills; - Most in Game,616,Hero
|Rpl {0}:Player:Players; Resurrected,618,Hero
|Rpl {0}:Player:Players; Resurrected - Most in Game,619,Hero
|Rpl {0}:Player:Players; Saved,621,Hero
Most |Rpl {0}:Player:Players; Saved in a Game,622,Hero
|Rpl {0}:Player:Players; Knocked Back,624,Hero
Damage Blocked,626,Hero
Damage Blocked - Most in Game,628,Hero
|Rpl {0}:Player:Players; Knocked Back - Most in Game,629,Hero
Melee |Rpl {0}:Kill:Kills;,630,Hero
Melee |Rpl {0}:Kill:Kills; - Most in Game,631,Hero
Jump Pack |Rpl {0}:Kill:Kills;,633,Hero
Jump Pack |Rpl {0}:Kill:Kills; - Most in Game,634,Hero
Armor |Rpl {0}:Pack:Packs; Created,637,Hero
Torbj̦rn |Rpl {0}:Kill:Kills;,639,Hero
Turret |Rpl {0}:Kill:Kills;,641,Hero
Sentry Turret |Rpl {0}:Kill:Kills;,645,Hero
Sentry Turret |Rpl {0}:Kill:Kills; - Most in Game,647,Hero
|Rpl {0}:Player:Players; Teleported,648,Hero
|Rpl {0}:Player:Players; Teleported - Most in Game,650,Hero
|Rpl {0}:Shield:Shields; Provided,651,Hero
|Rpl {0}:Shield:Shields; Provided - Most in Game,653,Hero
Teleporter Uptime,654,Hero
Teleporter Uptime - Average,655,Hero
Sound |Rpl {0}:Barrier:Barriers; Provided,659,Hero
Sound |Rpl {0}:Barrier:Barriers; Provided - Most in Game,660,Hero
of Team Damage Taken,668,Hero
Team Damage Taken,669,Team
Team |Rpl {0}:Death:Deaths;,672,Team
of Team |Rpl {0}:Death:Deaths;,673,Hero
Damage Blocked,675,Hero
All Damage Done - Most in Game,676,Hero
Healing Done - Most in Game,677,Hero
Dragonblade |Rpl {0}:Kill:Kills;,691,Hero
Dragonblade |Rpl {0}:Kill:Kills; - Most in Game,692,Hero
|Rpl {0}:Enemy:Enemies; Trapped - Most in Game,695,Hero
|Rpl {0}:Enemy:Enemies; Trapped,697,Hero
RIP-Tire |Rpl {0}:Kill:Kills; - Most in Game,699,Hero
RIP-Tire |Rpl {0}:Kill:Kills;,701,Hero
Self-Destruct |Rpl {0}:Kill:Kills;,703,Hero
Self-Destruct |Rpl {0}:Kill:Kills; - Most in Game,705,Hero
|Rpl {0}:Mech:Mechs; Called,707,Hero
|Rpl {0}:Mech:Mechs; Called - Most in Game,709,Hero
|Rpl {0}:Enemy:Enemies; Frozen,711,Hero
|Rpl {0}:Enemy:Enemies; Frozen - Most in Game,713,Hero
Blizzard |Rpl {0}:Kill:Kills; - Most in Game,715,Hero
Blizzard |Rpl {0}:Kill:Kills;,716,Hero
Damage Reflected,719,Hero
Damage Reflected - Most in Game,721,Hero
Damage Blocked - Most in Game,723,Hero
Damage Blocked,725,Hero
Damage Blocked - Most in Game,727,Hero
Damage Blocked,729,Hero
|Rpl {0}:Elimination:Eliminations; - Most in Game,730,Hero
Final |Rpl {0}:Blow:Blows; - Most in Game,731,Hero
of Team |Rpl {0}:Death:Deaths;,734,Hero
Fractional Kills,736,Team
Kill Participation,739,Hero
Infra-sight Uptime,741,Hero
Infra-sight Uptime,742,Hero
of |Rpl {0}:Rocket:Rockets; Fired,744,Hero
Earthshatter |Rpl {0}:Stun:Stuns;,750,Hero
Death |Rpl {0}:Blossom:Blossoms;,751,Hero
Rocket |Rpl {0}:Barrage:Barrages;,752,Hero
Tactical |Rpl {0}:Visor:Visors;,753,Hero
Team Time Played,758,Team
Armor Uptime,759,Hero
Armor Uptime,760,Hero
Kill Participation,761,Hero
of Match on Fire,764,Hero
|Rpl {0}:Dragonblade:Dragonblades;,767,Hero
Total Time Frozen,768,Hero
Deflection |Rpl {0}:Kill:Kills;,769,Hero
Sound Barrier |Rpl {0}:Cast:Casts;,770,Hero
Self-|Rpl {0}:Destruct:Destructs;,771,Hero
Kill Participation,776,Hero
Kill Participation,779,Hero
Defensive |Rpl {0}:Assist:Assists;,791,Hero
Offensive |Rpl {0}:Assist:Assists;,792,Hero
Defensive |Rpl {0}:Assist:Assists; - Most in Game,793,Player
Offensive |Rpl {0}:Assist:Assists; - Most in Game,794,Player
Objective |Rpl {0}:Kill:Kills;,796,Hero
Objective Time,797,Hero
Objective |Rpl {0}:Kill:Kills; - Most in Game,798,Hero
Objective Time - Most in Game,800,Hero
Objective |Rpl {0}:Kill:Kills; - Most in Game,802,Player
Objective Time - Most in Game,803,Player
Objective |Rpl {0}:Kill:Kills;,806,Hero
Objective Time,807,Hero
Teleporter |Rpl {0}:Pad:Pads; Destroyed,809,Hero
Teleporter |Rpl {0}:Pad:Pads; Destroyed,811,Hero
Torbj̦rn |Rpl {0}:Kill:Kills; - Most in Game,815,Hero
Armor |Rpl {0}:Pack:Packs; Created - Most in Game,816,Hero
Turret |Rpl {0}:Kill:Kills; - Most in Game,817,Hero
Molten Core |Rpl {0}:Kill:Kills;,819,Hero
Molten Core |Rpl {0}:Kill:Kills; - Most in Game,820,Hero
Recon |Rpl {0}:Assist:Assists;,825,Hero
Recon |Rpl {0}:Assist:Assists; - Most in Game,827,Hero
|Rpl {0}:Turret:Turrets; Destroyed,829,Hero
|Rpl {0}:Multikill:Multikills;,837,Hero
Multikill - Best,838,Hero
|Rpl {0}:Multikill:Multikills;,839,Hero
Multikill - Best,840,Player
Recon |Rpl {0}:Assist:Assists;,842,Hero
Recon |Rpl {0}:Assist:Assists; - Most in Game,843,Hero
Kill Participation,844,Hero
Primal Rage |Rpl {0}:Kill:Kills;,848,Hero
Transcendence Healing,850,Hero
Transcendence Percent of Healing,851,Hero
Fan the Hammer |Rpl {0}:Kill:Kills;,854,Hero
Projected |Rpl {0}:Barrier:Barriers; Applied,856,Hero
Projected Barrier Damage Blocked,857,Hero
Biotic |Rpl {0}:Field:Fields; Deployed,860,Hero
Biotic Field Healing Done,861,Hero
Mech |Rpl {0}:Death:Deaths;,863,Hero
Environmental |Rpl {0}:Kill:Kills;,866,Hero
Environmental |Rpl {0}:Kill:Kills;,867,Hero
Environmental |Rpl {0}:Death:Deaths;,869,Hero
Environmental |Rpl {0}:Death:Deaths;,871,Hero
Self Healing Percent of Damage Taken,872,Hero
Solo |Rpl {0}:Kill:Kills; - Most in Game,875,Player
Solo |Rpl {0}:Kill:Kills; - Most in Game,876,Hero
|Rpl {0}:Medal:Medals; - Bronze,877,Hero
|Rpl {0}:Medal:Medals; - Silver,878,Hero
|Rpl {0}:Medal:Medals; - Gold,879,Hero
|Rpl {0}:Medal:Medals; - Bronze,880,Hero
|Rpl {0}:Medal:Medals; - Silver,881,Hero
|Rpl {0}:Medal:Medals; - Gold,882,Hero
|Rpl {0}:Medal:Medals;,883,Hero
|Rpl {0}:Medal:Medals;,884,Hero
|Rpl {0}:Card:Cards;,885,Hero
|Rpl {0}:Card:Cards;,886,Hero
Hook Accuracy - Best in Game,887,Hero
Scoped Accuracy - Best in Game,888,Hero
Average Energy - Best in Game,889,Hero
Teleporter Uptime - Best in Game,890,Hero
Team |Rpl {0}:Teleporter:Teleporters; Placed,891,Team
Total |Rpl {0}:Medal:Medals; Earned,892,Player
Gold |Rpl {0}:Medal:Medals; Earned,893,Player
Melee Final |Rpl {0}:Blow:Blows;,895,Hero
Melee Final |Rpl {0}:Blow:Blows;,897,Hero
Melee Percentage of Final |Rpl {0}:Blow:Blows;,898,Hero
|Rpl {0}:Elimination:Eliminations; - Average,899,Hero
|Rpl {0}:Game:Games; Played,901,Hero
All Damage Done - Avg per 10 Min,902,Hero
|Rpl {0}:Death:Deaths; - Average,903,Hero
Final |Rpl {0}:Blow:Blows; - Average,904,Hero
Healing Done - Average,905,Hero
Objective |Rpl {0}:Kill:Kills; - Average,906,Hero
Objective Time - Average,907,Hero
Solo |Rpl {0}:Kill:Kills; - Average,908,Hero
Blaster |Rpl {0}:Kill:Kills; - Average,909,Hero
|Rpl {0}:Player:Players; Resurrected - Average,910,Hero
|Rpl {0}:Player:Players; Saved - Average,911,Hero
Dragonstrike |Rpl {0}:Kill:Kills; - Average,912,Hero
Scatter Arrow |Rpl {0}:Kill:Kills; - Average,913,Hero
Deadeye |Rpl {0}:Kill:Kills; - Average,914,Hero
Damage Blocked - Average,916,Hero
|Rpl {0}:Mech:Mechs; Called - Average,917,Hero
Self-Destruct |Rpl {0}:Kill:Kills; - Average,918,Hero
Sound |Rpl {0}:Barrier:Barriers; Provided - Average,919,Hero
All Damage Done - Avg per 10 Min,920,Hero
|Rpl {0}:Elimination:Eliminations; - Average,921,Hero
Final |Rpl {0}:Blow:Blows; - Average,922,Hero
Healing Done - Average,923,Hero
Objective |Rpl {0}:Kill:Kills; - Average,924,Hero
Objective Time - Average,925,Hero
Solo |Rpl {0}:Kill:Kills; - Average,926,Hero
Damage Reflected - Average,928,Hero
Dragonblade |Rpl {0}:Kill:Kills; - Average,929,Hero
Recon |Rpl {0}:Kill:Kills; - Average,931,Hero
Sentry |Rpl {0}:Kill:Kills; - Average,932,Hero
Tank |Rpl {0}:Kill:Kills; - Average,933,Hero
Armor |Rpl {0}:Pack:Packs; Created - Average,934,Hero
Molten Core |Rpl {0}:Kill:Kills; - Average,935,Hero
Torbj̦rn |Rpl {0}:Kill:Kills; - Average,936,Hero
Turret |Rpl {0}:Kill:Kills; - Average,937,Hero
Charge |Rpl {0}:Kill:Kills; - Average,938,Hero
Damage Blocked - Average,939,Hero
Earthshatter |Rpl {0}:Kill:Kills; - Average,940,Hero
Fire Strike |Rpl {0}:Kill:Kills; - Average,941,Hero
|Rpl {0}:Enemy:Enemies; Trapped - Average,942,Hero
RIP-Tire |Rpl {0}:Kill:Kills; - Average,943,Hero
Blizzard |Rpl {0}:Kill:Kills; - Average,944,Hero
Damage Blocked - Average,945,Hero
|Rpl {0}:Enemy:Enemies; Frozen - Average,946,Hero
Damage Blocked - Average,947,Hero
Graviton Surge |Rpl {0}:Kill:Kills; - Average,948,Hero
High Energy |Rpl {0}:Kill:Kills; - Average,949,Hero
Recon |Rpl {0}:Assist:Assists; - Average,950,Hero
Scoped Critical |Rpl {0}:Hit:Hits; - Average,951,Hero
Death Blossom |Rpl {0}:Kill:Kills; - Average,952,Hero
|Rpl {0}:Soul:Souls; Consumed - Average,953,Hero
|Rpl {0}:Enemy:Enemies; Hooked - Average,954,Hero
Whole Hog |Rpl {0}:Kill:Kills; - Average,955,Hero
Barrage |Rpl {0}:Kill:Kills; - Average,956,Hero
Rocket Direct |Rpl {0}:Hit:Hits; - Average,957,Hero
Helix |Rpl {0}:Rocket:Rockets; Kills - Average,958,Hero
Tactical Visor |Rpl {0}:Kill:Kills; - Average,959,Hero
Damage Blocked - Average,960,Hero
Jump Pack |Rpl {0}:Kill:Kills; - Average,961,Hero
Melee |Rpl {0}:Kill:Kills; - Average,962,Hero
|Rpl {0}:Player:Players; Knocked Back - Average,963,Hero
|Rpl {0}:Player:Players; Teleported - Average,964,Hero
Sentry Turret |Rpl {0}:Kill:Kills; - Average,965,Hero
|Rpl {0}:Shield:Shields; Provided - Average,966,Hero
Pulse |Rpl {0}:Bomb:Bombs; Attached - Average,967,Hero
Pulse Bomb |Rpl {0}:Kill:Kills; - Average,968,Hero
Venom Mine |Rpl {0}:Kill:Kills; - Average,970,Hero
Time Spent on Fire - Most in Game,971,Player
Time Spent on Fire,972,Hero
Time Spent on Fire,973,Hero
Time Spent on Fire - Average,974,Hero
|Rpl {0}:Death:Deaths; - Average,975,Hero
Win Percentage,977,Hero
|Rpl {0}:Elimination:Eliminations; per Life,978,Hero
Offensive |Rpl {0}:Assist:Assists;,980,Hero
Offensive |Rpl {0}:Assist:Assists; - Most in Game,982,Hero
Offensive |Rpl {0}:Assist:Assists; - Average,983,Hero
Defensive |Rpl {0}:Assist:Assists;,986,Hero
Defensive |Rpl {0}:Assist:Assists; - Average,987,Hero
Defensive |Rpl {0}:Assist:Assists; - Most in Game,988,Hero
Critical |Rpl {0}:Hit:Hits;,990,Hero
Critical |Rpl {0}:Hit:Hits; - Most in Game,991,Hero
Critical |Rpl {0}:Hit:Hits; - Most in Life,992,Hero
Critical Hit Accuracy,994,Hero
Critical |Rpl {0}:Hit:Hits; - Average,996,Hero
Self Healing,998,Hero
Self Healing - Most in Game,999,Hero
Self Healing - Average,1000,Hero
Fan the Hammer |Rpl {0}:Kill:Kills; - Most in Game,1003,Hero
Fan the Hammer |Rpl {0}:Kill:Kills; - Average,1004,Hero
Melee Final |Rpl {0}:Blow:Blows; - Most in Game,1005,Player
Melee Final |Rpl {0}:Blow:Blows; - Average,1006,Hero
Melee Final |Rpl {0}:Blow:Blows; - Average,1007,Hero
Melee Final |Rpl {0}:Blow:Blows; - Most in Game,1008,Hero
Primal Rage |Rpl {0}:Kill:Kills; - Most in Game,1009,Hero
Primal Rage |Rpl {0}:Kill:Kills;  - Average,1010,Hero
Projected |Rpl {0}:Barrier:Barriers; Applied - Most in Game,1011,Hero
Projected |Rpl {0}:Barrier:Barriers; Applied - Average,1012,Hero
|Rpl {0}:Game:Games; Won,1013,Hero
Healing Done,1015,Hero
Healing Done - Average,1016,Hero
Healing Done - Most in Game,1017,Hero
|Rpl {0}:Player:Players; Saved,1028,Hero
|Rpl {0}:Player:Players; Saved - Average,1029,Hero
|Rpl {0}:Player:Players; Saved - Most in Game,1030,Hero
Unscoped |Rpl {0}:Shot:Shots;,1039,Hero
Unscoped |Rpl {0}:Hit:Hits;,1040,Hero
Unscoped Accuracy,1041,Hero
|Rpl {0}:Enemy:Enemies; Slept,1042,Hero
Nano |Rpl {0}:Boost:Boosts; Applied,1043,Hero
Nano Boost |Rpl {0}:Assist:Assists;,1044,Hero
Unscoped Accuracy - Best in Game,1045,Hero
|Rpl {0}:Enemy:Enemies; Slept - Average,1049,Hero
|Rpl {0}:Enemy:Enemies; Slept - Most in Game,1054,Hero
Nano Boost |Rpl {0}:Assist:Assists; - Average,1055,Hero
Nano Boost |Rpl {0}:Assist:Assists; - Most in Game,1056,Hero
Nano |Rpl {0}:Boost:Boosts; Applied - Average,1057,Hero
Nano |Rpl {0}:Boost:Boosts; Applied - Most in Game,1058,Hero
|Rpl {0}:Game:Games; Not Won,1068,Hero
|Rpl {0}:Game:Games; Tied,1069,Hero
|Rpl {0}:Game:Games; Lost,1070,Hero
|Rpl {0}:Game:Games; Tied,1071,Hero
|Rpl {0}:Game:Games; Lost,1072,Hero
|Rpl {0}:Game:Games; Not Won,1073,Hero
Map |Rpl {0}:Tie:Ties;,1075,PlayerMap
Map |Rpl {0}:Not Win:Not Wins;,1076,PlayerMap
Map |Rpl {0}:Tie:Ties;,1077,PlayerMap
Map |Rpl {0}:Not Win:Not Wins;,1078,PlayerMap
Biotic Grenade |Rpl {0}:Kill:Kills;,1084,Hero
Healing Done,1089,Team
|Rpl {0}:Enemy:Enemies; Hacked,1092,Hero
|Rpl {0}:Enemy:Enemies; EMP'd,1093,Hero
|Rpl {0}:Enemy:Enemies; Hacked - Average,1096,Hero
|Rpl {0}:Enemy:Enemies; Hacked - Most in Game,1097,Hero
|Rpl {0}:Enemy:Enemies; EMP'd - Average,1098,Hero
|Rpl {0}:Enemy:Enemies; EMP'd - Most in Game,1099,Hero
Team |Rpl {0}:Elimination:Eliminations;,1120,Team
|Rpl {0}:Ultimate:Ultimates; Earned,1122,Hero
|Rpl {0}:Ultimate:Ultimates; Used,1123,Hero
|Rpl {0}:Ultimate:Ultimates; Earned,1124,Hero
|Rpl {0}:Ultimate:Ultimates; Used,1125,Hero
Time Holding Ultimate,1126,Hero
Time Holding Ultimate,1127,Hero
|Rpl {0}:Shot:Shots; Fired,1132,Hero
Time Alive,1133,Hero
Lives,1134,Hero
Average Time Alive,1135,Hero
Lives,1136,Hero
Time Alive,1137,Hero
Kill Streak - Best,1138,Hero
Average Time Alive,1139,Hero
Damage Blocked,1142,Hero
Damage Blocked - Average,1143,Hero
Damage Blocked - Most in Game,1144,Hero
Flag |Rpl {0}:Capture:Captures;,1146,Hero
Flag |Rpl {0}:Capture:Captures;,1147,Hero
Flag |Rpl {0}:Return:Returns;,1148,Hero
Flag |Rpl {0}:Return:Returns;,1149,Hero
Shield |Rpl {0}:Generator:Generators; Destroyed,1151,Hero
Health Recovered,1152,Hero
Health Recovered - Average,1153,Hero
Health Recovered - Most in Game,1154,Hero
Damage Amplified,1162,Hero
Damage Amplified - Average,1163,Hero
Damage Amplified - Most in Game,1164,Hero
Damage Blocked,1166,Hero
Damage Blocked - Average,1167,Hero
Damage Blocked - Most in Game,1168,Hero
|Rpl {0}:Turret:Turrets; Destroyed,1169,Hero
Shield |Rpl {0}:Generator:Generators; Destroyed,1170,Hero
Shield |Rpl {0}:Generator:Generators; Destroyed - Most in Game,1171,Player
|Rpl {0}:Turret:Turrets; Destroyed - Most in Game,1172,Player
Environmental |Rpl {0}:Kill:Kills; - Most in Game,1173,Player
Teleporter |Rpl {0}:Pad:Pads; Destroyed - Most in Game,1174,Player
Kill Streak - Best,1175,Player
Time Spent on Fire - Average,1176,Hero
Time Spent on Fire - Most in Game,1177,Hero
|Rpl {0}:Elimination:Eliminations; - Avg per 10 Min,1200,Hero
Final |Rpl {0}:Blow:Blows; - Avg per 10 Min,1201,Hero
Healing Done - Avg per 10 Min,1202,Hero
Objective |Rpl {0}:Kill:Kills; - Avg per 10 Min,1203,Hero
Objective Time - Avg per 10 Min,1204,Hero
Solo |Rpl {0}:Kill:Kills; - Avg per 10 Min,1205,Hero
Time Spent on Fire - Avg per 10 Min,1206,Hero
Hero Damage Done,1207,Hero
Hero Damage Done,1208,Hero
Hero Damage Done,1209,Team
Hero Damage Done - Most in Game,1210,Player
Hero Damage Done - Most in Game,1211,Hero
Hero Damage Done - Most in Life,1212,Hero
Hero Damage Done - Avg per 10 Min,1213,Hero
Time Played Since 1.12,1214,Hero
Time Played Since 1.12,1215,Hero
Team Time Played,1216,Team
Hero Damage Done - Avg per 10 Min,1217,Hero
of Team's Hero Damage,1218,Hero
|Rpl {0}:Death:Deaths; - Avg per 10 Min,1219,Hero
Melee Final |Rpl {0}:Blow:Blows; - Avg per 10 Min,1220,Hero
|Rpl {0}:Enemy:Enemies; Slept - Avg per 10 Min,1221,Hero
Nano Boost |Rpl {0}:Assist:Assists; - Avg per 10 Min,1222,Hero
Nano |Rpl {0}:Boost:Boosts; Applied - Avg per 10 Min,1223,Hero
Blaster |Rpl {0}:Kill:Kills; - Avg per 10 Min,1224,Hero
|Rpl {0}:Player:Players; Resurrected - Avg per 10 Min,1225,Hero
|Rpl {0}:Player:Players; Saved - Avg per 10 Min,1226,Hero
Dragonstrike |Rpl {0}:Kill:Kills; - Avg per 10 Min,1227,Hero
Scatter Arrow |Rpl {0}:Kill:Kills; - Avg per 10 Min,1228,Hero
Deadeye |Rpl {0}:Kill:Kills; - Avg per 10 Min,1229,Hero
Fan the Hammer |Rpl {0}:Kill:Kills; - Avg per 10 Min,1230,Hero
Damage Blocked - Avg per 10 Min,1231,Hero
|Rpl {0}:Mech:Mechs; Called - Avg per 10 Min,1232,Hero
Self-Destruct |Rpl {0}:Kill:Kills; - Avg per 10 Min,1233,Hero
Sound |Rpl {0}:Barrier:Barriers; Provided - Avg per 10 Min,1234,Hero
|Rpl {0}:Death:Deaths; - Avg per 10 Min,1235,Hero
|Rpl {0}:Elimination:Eliminations; - Avg per 10 Min,1236,Hero
Final |Rpl {0}:Blow:Blows; - Avg per 10 Min,1237,Hero
Healing Done - Avg per 10 Min,1238,Hero
Melee Final |Rpl {0}:Blow:Blows; - Avg per 10 Min,1239,Hero
Objective |Rpl {0}:Kill:Kills; - Avg per 10 Min,1240,Hero
Objective Time - Avg per 10 Min,1241,Hero
Solo |Rpl {0}:Kill:Kills; - Avg per 10 Min,1242,Hero
Time Spent on Fire - Avg per 10 Min,1243,Hero
Dragonblade |Rpl {0}:Kill:Kills; - Avg per 10 Min,1245,Hero
Recon |Rpl {0}:Kill:Kills; - Avg per 10 Min,1246,Hero
Sentry |Rpl {0}:Kill:Kills; - Avg per 10 Min,1247,Hero
Tank |Rpl {0}:Kill:Kills; - Avg per 10 Min,1248,Hero
Armor |Rpl {0}:Pack:Packs; Created - Avg per 10 Min,1249,Hero
Molten Core |Rpl {0}:Kill:Kills; - Avg per 10 Min,1250,Hero
Torbj̦rn |Rpl {0}:Kill:Kills; - Avg per 10 Min,1251,Hero
Turret |Rpl {0}:Kill:Kills; - Avg per 10 Min,1252,Hero
Charge |Rpl {0}:Kill:Kills; - Avg per 10 Min,1253,Hero
Damage Blocked - Avg per 10 Min,1254,Hero
Earthshatter |Rpl {0}:Kill:Kills; - Avg per 10 Min,1255,Hero
Fire Strike |Rpl {0}:Kill:Kills; - Avg per 10 Min,1256,Hero
|Rpl {0}:Enemy:Enemies; Trapped - Avg per 10 Min,1257,Hero
RIP-Tire |Rpl {0}:Kill:Kills; - Avg per 10 Min,1258,Hero
Blizzard |Rpl {0}:Kill:Kills; - Avg per 10 Min,1259,Hero
Damage Blocked - Avg per 10 Min,1260,Hero
|Rpl {0}:Enemy:Enemies; Frozen - Avg per 10 Min,1261,Hero
